"condition","r2_mf","r2_mf2","r2_pema","r2_mlrf","r2_mf.vs..r2_mf2","r2_mf.vs..r2_pema","r2_mf.vs..r2_mlrf","r2_mf2.vs..r2_pema","r2_mf2.vs..r2_mlrf","r2_mlrf.vs..r2_pema"
"es",0.908723748464984,0.911343223968592,0.915169667803994,0.907543965151332,0.00164144385612413,0.00109176356193731,0.000111206436906396,0.000868769354570401,0.000951047509072518,0.000900851821604735
"k_train",0.038397665814997,0.049894304158212,0.0115881560627568,0.0371451095408824,0.000188820849893806,0.00255515177105971,5.27354101898818e-06,0.0037770337347944,0.00023776975227054,0.00232393654192513
"model",0.663644007717969,0.665712773076666,0.637498463966026,0.657728682339266,0.000671664480645923,0.00577206317738785,7.62201468884584e-05,0.00261437778532443,0.000289140463032242,0.00449622216809751
"moderators",0.0127057669885022,0.00958939628560286,0.00166001288591002,0.0104418774432149,9.44064704793472e-05,0.00147285757627413,3.03468513601621e-05,0.000854881520201537,1.67490766794518e-05,0.00107108920989386
"studylevel",0.0189783796540304,0.025018836942525,0.00800743545298974,0.0178625817762244,5.54405268319747e-05,0.000767262074641052,2.85786424087121e-06,0.00129172914817207,8.4159578245784e-05,0.000672512049972952
"tau2",0.692688214552718,0.692840764503882,0.697418725961513,0.691656814652822,0.000952510608018751,0.00105359702069835,5.17477980394586e-06,6.91008538936423e-06,0.000846200252880896,0.000935973557524558
